Players,GP,Pre,Current,FGM,FGA,FG,FTM,FTA,FT,3PTM,PTS,OREB,DREB,REB,AST,ST,BLK,A/T
N. Bjelica Min - PF,64,304,293,1.6,3.7,0.447,0.6,0.8,0.755,0.9,4.8,0.7,2.4,3.1,1.3,0.3,0.4,2.1
"L. Thomas NY - SG,SF",65,305,301,2.7,6.2,0.438,1.4,1.7,0.804,0.6,7.4,0.6,1.6,2.2,0.9,0.5,0.1,0.9
"C. Landry Phi - SF,PF",53,306,317,2.6,4.9,0.525,1.4,1.8,0.771,0.1,6.7,1.1,2.0,3.1,0.5,0.2,0.2,0.9
J. Withey Uta - C,44,307,354,1.5,2.8,0.554,0.7,1.0,0.714,0.0,3.7,0.9,1.7,2.6,0.3,0.3,1.0,0.7
B. Jennings NY - PG,72,308,165,3.2,8.5,0.378,1.6,2.1,0.765,1.4,9.5,0.4,1.9,2.3,4.3,0.8,0.2,2.9
R. Neto Uta - PG,58,309,353,1.5,3.5,0.436,0.4,0.6,0.706,0.6,4.0,0.2,0.8,1.0,1.4,0.6,0.0,1.6
"G. Neal Was - PG,SG",40,310,332,3.1,7.1,0.436,1.4,1.6,0.857,0.9,8.4,0.3,1.5,1.8,1.2,0.4,0.0,2.1
J. Nelson Den - PG,50,311,339,1.6,4.2,0.390,0.4,0.5,0.800,0.7,4.4,0.3,1.3,1.6,2.6,0.4,0.1,2.9
A. Nicholson Was - PF,49,312,342,2.3,5.0,0.465,0.7,0.9,0.783,0.5,5.9,0.6,2.6,3.1,0.4,0.2,0.3,0.7
"C. Budinger Bkn - SG,SF",55,313,344,1.5,3.4,0.430,0.7,0.9,0.766,0.4,4.0,0.7,1.4,2.1,0.9,0.5,0.2,1.3
S. Mack Uta - PG,65,314,313,2.2,5.2,0.429,0.7,1.0,0.719,0.6,5.8,0.2,1.6,1.8,2.5,0.4,0.1,1.8
"M. Dunleavy Cle - SG,SF",59,315,291,2.5,5.8,0.426,1.0,1.2,0.819,1.3,7.3,0.3,2.3,2.6,1.2,0.5,0.3,1.5
"B. Rush Min - SG,SF",65,316,329,1.4,3.4,0.425,0.2,0.4,0.667,0.9,4.0,0.3,1.9,2.2,0.7,0.2,0.3,1.9
"K. Garnett Min - PF,C",35,317,378,1.2,2.5,0.461,0.3,0.4,0.733,0.0,2.7,0.4,3.0,3.4,1.3,0.6,0.2,3.0
"L. Richard Mbah a Moute LAC - SF,PF",64,318,335,1.2,2.7,0.443,0.5,0.8,0.592,0.2,3.0,0.7,1.7,2.4,0.6,0.7,0.3,0.9
"T. Johnson Mia - PG,SG",75,319,176,3.5,7.7,0.451,1.5,2.0,0.758,0.9,9.3,0.7,2.5,3.3,2.7,0.7,0.3,1.6
N. Vonleh Por - PF,57,320,369,1.2,2.9,0.413,0.5,0.7,0.725,0.1,3.0,0.9,2.1,3.1,0.3,0.3,0.3,0.7
C. Villanueva Dal - PF,42,321,381,1.9,4.9,0.391,0.3,0.5,0.684,0.9,5.0,0.4,2.0,2.3,0.4,0.3,0.3,0.8
L. Babbitt Mia - SF,53,322,358,1.9,4.4,0.430,0.6,0.8,0.732,0.8,5.2,0.3,1.8,2.1,0.8,0.2,0.1,2.2
"P. Hairston Hou - SG,SF",35,323,400,1.5,4.2,0.367,0.5,0.6,0.810,0.8,4.4,0.3,1.3,1.6,0.4,0.3,0.1,0.8
M. Brown Cle - SG,0,324,484,,,0.000,,,0.000,,,,,,,,,0.0
